,0
614,ATSC4i
615,SMR_VSA6
616,MATS5d
617,AATS0se
618,ATS8d
619,AATS3dv
620,nAromBond
621,PEOE_VSA13
622,ATS6m
623,SdsCH
624,ATSC6i
625,MATS7i
626,ATS0v
627,AATSC1d
628,MID_O
629,ATSC4p
630,BCUTse-1l
631,GATS2Z
632,n6ARing
633,RNCG
634,VSA_EState7
635,AATS3m
636,n8FARing
637,Xc-4dv
638,EState_VSA10_multiply_ATS0se
639,AATSC5pe
640,ATSC4se
641,SpAD_Dzv
642,Xpc-5d
643,AXp-6dv
644,SRW09
645,ATS1Z
646,PetitjeanIndex
647,nFHRing
648,ETA_shape_x
649,PEOE_VSA2
650,SlogP_VSA2_sum_AATS7Z
651,nAcid
652,ATS3pe
653,VE1_D
654,MATS1are_diff_piPC10
655,Xc-6dv
656,AATSC4p
657,Kier2
658,Kier3
659,Xp-0dv
660,MATS8i
661,AATS0i
662,Xp-1dv
663,C2SP3
664,CIC3
665,Xch-6dv
666,SpMAD_Dzp
667,VE3_Dzare
668,ATSC5Z
669,BCUTare-1l
670,SpAD_A
671,EState_VSA10_sum_AATS8s
672,MATS2se
673,NssO
674,AATSC8se
675,AATS7Z
676,Xpc-6d
677,SMR_VSA3
678,ATSC5se
679,AATSC8Z
680,AATS2s
681,nHeavyAtom
682,AATSC7Z
683,VR3_Dzse
684,ETA_eta_L
685,nG12FHRing
686,AATS3p
687,MATS6s
688,ATSC3Z
689,IC4
690,MATS1are
691,EState_VSA10_multiply_LogEE_Dzv
692,ZMIC2
693,AATS2p
694,ETA_dEpsilon_A
695,AATS1i
696,Xp-3d
697,Mm
698,SpMAD_Dzse
699,SpAbs_Dzi
700,AATS4Z_diff_TopoPSA
701,AXp-4d_ratio_ATS0s
702,GATS3v
703,ATSC3d
704,AATS7pe
705,AATSC0dv
706,MATS8Z
707,ATS3m
708,AATS1are
709,ATS7d
710,ATS4Z
711,MATS2m
712,MPC5
713,AATS4pe
714,SpMax_DzZ
715,AATS3pe
716,AATS2pe
717,MATS6i
718,BCUTpe-1h
719,ATSC5p
720,AATSC0c
721,MATS6m
722,AMID_N
723,ATSC8i
724,LogEE_Dzm
725,ATSC3se
726,AATSC0d
727,MATS5p
728,ATS2v
729,SpMax_Dzm
730,SsNH2
731,piPC10_sum_GATS7d
732,AATS5are
733,VSA_EState3
734,MDEC-23
735,AETA_eta_L
736,GATS2i
737,SpMax_Dzp
738,ETA_dEpsilon_C
739,SpDiam_Dzi
740,BCUTZ-1l
741,AETA_eta_R
742,BIC1
743,nCl
744,SssS
745,BCUTs-1h
746,BCUTdv-1l
747,AATS2d
748,TopoPSA
749,BCUTdv-1h
750,GATS3d_diff_TpiPC10
751,PEOE_VSA9
752,RotRatio
753,MATS2s
754,ATS8i
755,AATSC1v
756,TopoPSA(NO)_multiply_nG12FRing
757,ATS1i
758,Spe
759,GATS4Z_ratio_ETA_shape_y
760,NaasN
761,AATS5v
762,GATS8are
763,VR1_Dzi_ratio_nG12FARing
764,NdsCH
765,ATS7se
766,PEOE_VSA4
767,AATS4dv
768,nRot
769,GATS4i
770,ATS3are
771,piPC6
772,GGI5
773,AATS1d
774,Xp-7dv
775,SRW07
776,n9FARing
777,SaaO
778,piPC7
779,SRW04
780,AATSC5are
781,MPC10
782,MWC07
783,MWC02
784,n10FHRing
785,AATSC1p
786,VAdjMat
787,IC5
788,CIC4
789,nFAHRing
790,VE1_Dzi
791,SpDiam_A
792,SpMax_A
793,AATS0p
794,Mare
795,AATSC1i
796,n12FAHRing
797,AATS3Z
798,NddsN
799,VSA_EState4
800,SlogP_VSA1
801,VE3_D
802,GATS7c
803,AATS1Z
804,AATS0d
805,VR3_Dzv
806,AATS6m
807,ATSC6are
808,AATS6dv
809,AATS1se
810,AATS6d
811,ATS4pe
812,ATS6are
813,AATS8Z
814,AATS3v
815,VR3_Dzpe
816,ATSC8pe
817,ATS4p
818,AATS2se
819,VR2_DzZ
820,AATS2v
821,ATS7are
822,SpAbs_Dzpe
823,AATS6v
824,ATSC1are
825,GATS3m
826,GATS2v
827,ATSC0are
828,LogEE_Dzare
829,AATS1dv
830,GATS7pe
831,GATS6m
832,AATS3s
833,BCUTd-1h
834,ATS5se
835,ATS5dv
836,VR1_Dzv
837,SM1_DzZ
838,VR1_DzZ
839,BCUTc-1l
840,ATS2se
841,SpMax_Dzse
842,ATS7v
843,ATS2d
844,nC
845,VE2_A
846,LogEE_A
847,GATS3Z
848,VE1_A
849,VE3_A
850,nBridgehead
851,GATS3s
852,ATS6se
853,VR3_A
854,ATS6d
855,BCUTm-1h
856,SpDiam_Dzp
857,GATS1i
858,AXp-4dv
859,AATS8v
860,GATS4v
861,SpMAD_Dzare
862,AATS8s
863,AATS0Z
864,ATS0Z
865,GATS5are
866,ATS1pe
867,ATS2m
868,BCUTv-1l
869,GATS3se
870,nAtom
871,VE2_Dzse
872,GATS4Z
873,nF
874,LogEE_DzZ
875,nBr
876,VR2_Dzv
877,SM1_Dzse
878,SpAbs_Dzse
879,MATS1s
880,ATSC3p
881,AXp-2d
882,Xpc-4d
883,NsCl
884,Xpc-5dv
885,AATSC4se
886,NssS
887,C3SP3
888,Xp-5d
889,AATSC2se
890,AATSC1se
891,AXp-1d
892,Xc-6d
893,Radius
894,Mv
895,MATS2p
896,SsssCH
897,NdsN
898,VR3_D
899,VR2_D
900,VE2_D
901,Sv
902,LogEE_D
903,SpMAD_D
904,ETA_epsilon_1
905,MWC01
906,SpDiam_D
907,AATSC8pe
908,AATSC3m
909,AMID_C
910,SpMax_Dzse_ratio_nFRing
911,Kier2_diff_SMR_VSA1
912,EState_VSA10_multiply_Sse
913,EState_VSA10_multiply_ATS0are
914,MPC8
915,AATSC7v
916,ATSC0are_ratio_nG12FRing
917,mZagreb2
918,AATSC6pe
919,MWC03
920,ATSC1pe
921,AATSC4pe
922,n10FARing
923,nFaHRing
924,n9FaRing
925,n8FHRing
926,SRW05
927,MWC10
928,TMWC10
929,MWC04
930,SpAD_D
931,SpMax_D
932,piPC8_sum_BCUTs-1l
933,SssO
934,ETA_eta_RL
935,SpMAD_Dzi
936,SM1_Dzi
937,SaasN
938,SsF
939,C2SP2
940,SdO
941,C3SP2
942,C1SP1
943,C1SP2
944,C1SP3
945,VR3_Dzp
946,SdS
947,GATS3c
948,MATS1i
949,MATS1pe
950,MATS3m
951,MATS1m
952,VE2_Dzare
953,MATS4se
954,GATS1v
955,VR3_Dzi
956,SpMax_Dzi
957,ETA_eta_BR
958,SpAbs_D
959,NdssC
960,Si
961,MATS3are
962,Mpe
963,MATS3p
964,AXp-4d
965,NssCH2
966,AXp-5d
967,NdNH
968,MATS8pe
969,NssssC
970,NsssCH
971,VR2_Dzp
972,NtCH
973,MATS5pe
974,StN
975,MATS3pe
976,nBonds
977,ETA_alpha
978,SsBr
979,SaaS
980,VE2_Dzi
981,AETA_beta_ns
